OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB,if_pandemic
66389759,,574701,0.0,0.0,0.0,1.0,0.0,Null,2018/2019,CHARTWELL DRIVE,JOHN WITTON DRIVE,,Non-Injury Crash,No,2018,0.0,North,0.0,0,0.0,Hill Road,0.0,,0.0,,0.0,Bright sun,2105204,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Wellington Region,Nil,2-way,Sealed,0.0,0.0,0,0.0,50.0,0.0,Null,0.0,0.0,,47,Wellington City,Nil,0.0,0.0,0.0,1.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,0
66389765,,573101,0.0,,0.0,2.0,,North,2017/2018,TARANAKI ST,VIVIAN ST,,Non-Injury Crash,No,2017,,South,,0,,Flat,,,,,,Overcast,2133700,0,0.0,0.0,2.0,,,0.0,,,,,,Wellington Region,Nil,2-way,Sealed,,0.0,0,,50.0,,Null,0.0,0.0,,47,Wellington City,Traffic Signals,,,,,0.0,0.0,Urban,0.0,,,Fine,Null,0
66389799,,576400,0.0,,0.0,2.0,,Null,2018/2019,OWEN STREET,PICTON AVENUE,,Minor Crash,No,2019,,South,,0,,Flat,,,,,,Dark,2167500,1,0.0,0.0,2.0,,,0.0,,,,,,Wellington Region,Nil,2-way,Sealed,,0.0,0,,50.0,,On,0.0,0.0,,47,Wellington City,Nil,,,,,0.0,0.0,Urban,0.0,,,Fine,Null,0
66389807,,577102,0.0,0.0,0.0,1.0,1.0,East,2018/2019,TANNADYCE ST,STRATHMORE AVENUE,,Non-Injury Crash,No,2018,0.0,North,0.0,0,0.0,Hill Road,0.0,,0.0,,0.0,Dark,2214100,0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,Wellington Region,Nil,2-way,Sealed,0.0,0.0,0,0.0,50.0,0.0,On,0.0,0.0,,47,Wellington City,Unknown,0.0,0.0,0.0,1.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,0
66389827,,577000,0.0,0.0,0.0,1.0,0.0,East,2017/2018,TORU ST,QUEENS DRIVE,,Non-Injury Crash,No,2018,0.0,East,0.0,0,0.0,Flat,0.0,,0.0,,0.0,Unknown,2174000,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,Wellington Region,Nil,2-way,Sealed,0.0,0.0,0,0.0,50.0,0.0,Null,1.0,0.0,,47,Wellington City,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,0
66389840,,575600,0.0,0.0,0.0,1.0,1.0,West,2018/2019,Z DRIVEWAY,OHIRO ROAD,,Minor Crash,No,2018,0.0,North,0.0,0,0.0,Hill Road,0.0,,0.0,,0.0,Overcast,2161601,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Wellington Region,Nil,Off road,Sealed,0.0,0.0,0,0.0,50.0,0.0,Null,0.0,0.0,,47,Wellington City,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,0
66389847,,576400,0.0,,0.0,2.0,,East,2018/2019,CONSTABLE ST,RIDDIFORD STREET,,Non-Injury Crash,No,2019,,West,,0,,Flat,,,,,,Bright sun,2168400,0,0.0,0.0,2.0,,,0.0,,,,,,Wellington Region,Nil,2-way,Sealed,,0.0,0,,50.0,,Off,0.0,0.0,,47,Wellington City,Unknown,,,,,0.0,0.0,Urban,0.0,,,Fine,Null,0
66389863,,573522,0.0,0.0,0.0,1.0,0.0,South,2018/2019,01N-1060-I,TAWA-GRENADA NORTH ON RAMP,,Non-Injury Crash,Yes,2019,0.0,South,0.0,0,0.0,Flat,1.0,,0.0,,0.0,Bright sun,2086311,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Wellington Region,Nil,1-way,Sealed,0.0,0.0,0,0.0,100.0,0.0,Off,1.0,0.0,,47,Wellington City,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine,Null,0
66389900,,573300,0.0,0.0,0.0,2.0,0.0,West,2017/2018,HARGREAVES ST,WRIGHT ST,,Non-Injury Crash,No,2018,0.0,North,0.0,0,0.0,Hill Road,0.0,,0.0,,0.0,Overcast,2146400,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,Wellington Region,Nil,2-way,Sealed,0.0,0.0,0,0.0,50.0,0.0,Null,0.0,0.0,,47,Wellington City,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Heavy rain,Null,0
66389914,,573300,0.0,0.0,0.0,0.0,0.0,East,2018/2019,DOUGLAS ST,TASMAN STREET,,Non-Injury Crash,No,2018,0.0,West,0.0,0,0.0,Null,0.0,,0.0,,0.0,Unknown,2146000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,Wellington Region,Nil,Null,Null,0.0,0.0,0,0.0,,0.0,Null,0.0,0.0,,47,Wellington City,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Urban,1.0,0.0,0.0,Null,Null,0
