OBJECTID,alcohol_store,distance_to_store (meters),distance_to_store_km
66392427,Discount Liquor Centre,540.7851684836013,0.5407851684836013
66392456,Discount Liquor Centre,137.36320587620352,0.13736320587620351
66392474,Garage Project,250.4515189554401,0.2504515189554401
66392503,Regional Wines and Spirits,420.42423017012464,0.42042423017012465
66392519,nan,1187.8774923589149,1.1878774923589148
66392535,JK Liquor,4132.62395737655,4.132623957376549
66392551,Discount Liquor Centre,485.1159070731314,0.4851159070731314
66392552,Discount Liquor Centre,2235.374635476326,2.235374635476326
66392553,Super Liquor,855.540879848936,0.855540879848936
66392658,JK Liquor,4557.7090617028325,4.557709061702832
66392662,Cuba Liquor World,337.34652366322547,0.3373465236632255
66392665,Glengarry Wines,514.161623958031,0.514161623958031
66392667,Super Liquor,234.76874951624356,0.23476874951624355
66392693,The Bottle-O,1249.1542555194042,1.2491542555194042
66392697,Discount Liquor Centre,457.1879093732425,0.4571879093732425
66392742,Cuba Liquor World,286.5505638873149,0.2865505638873149
66392747,Liquorland,692.770745068371,0.692770745068371
66392788,Discount Liquor Centre,4083.403006529987,4.083403006529987
66392821,Cuba Liquor World,1075.6809063536246,1.0756809063536246
66392832,The Bottle-O,3466.11652814092,3.46611652814092
66392845,Thirsty Liquor,1542.1236688421611,1.5421236688421611
66392853,Discount Liquor Centre,833.7604207197974,0.8337604207197974
66392959,Regional Wines and Spirits,602.0893876271871,0.6020893876271871
66392969,The Bottle-O,1178.5585185454336,1.1785585185454335
66392983,nan,1035.1103627124444,1.0351103627124443
66393066,JK Liquor,2652.669322499586,2.652669322499586
66393082,Glengarry Wines,5019.360582719921,5.019360582719921
66393086,JK Liquor,3069.7670583989407,3.0697670583989405
66393117,Thirsty Liquor,275.51725298422497,0.27551725298422497
66393120,JK Liquor,5265.359601237089,5.265359601237089
66393173,Liquorland,1499.5604802234193,1.4995604802234193
66393202,The Bottle-O,3210.523634226006,3.2105236342260057
66393222,The Bottle-O,507.00318342831264,0.5070031834283126
66393234,Liquorland,141.35361555851037,0.14135361555851036
66393238,Glengarry Wines,956.8121999775931,0.956812199977593
66393258,JK Liquor,959.9574358358901,0.9599574358358901
